Ticker
aak.st
acad.st
addt-b.st
alfa.st
arjo-b.st
assa-b.st
atco-a.st
atco-b.st
atrlj-b.st
att.st
aza.st
axfo.st
beia-b.st
beij-b.st
bets-b.st
bhg.st
bili-a.st
bill.st
biog-b.st
bol.st
brav.st
bufab.st
bure.st
bmax.st
cast.st
clas-b.st
cla-b.st
dust.st
elux-b.st
ekta-b.st
epi-a.st
epi-b.st
eric-a.st
eric-b.st
essity-a.st
essity-b.st
evo.st
fabg.st
bald-b.st
foi-b.st
geti-b.st
hm-b.st
hexa-b.st
hpol-b.st
hofi.st
holm-b.st
hufv-a.st
husq-a.st
husq-b.st
indu-a.st
indu-c.st
indt.st
intrum.st
inve-a.st
inve-b.st
jm.st
kind-sdb.st
kinv-a.st
kinv-b.st
lato-b.st
lifco-b.st
liab.st
loomis.st
lund-b.st
mtg-b.st
mtrs.st
mycr.st
ncc-a.st
ncc-b.st
nibe-b.st
nobi.st
nola-b.st
peab-b.st
rato-b.st
resurs.st
saab-b.st
sand.st
seb-a.st
seb-c.st
secu-b.st
ska-b.st
skf-a.st
skf-b.st
ssab-a.st
ssab-b.st
ste-a.st
shb-a.st
shb-b.st
swec-b.st
swed-a.st
sobi.st
sca-a.st
sca-b.st
tel2-b.st
telia.st
tietos.st
trel-b.st
wall-b.st
vitr.st
volv-a.st
volv-b.st
ores.st
